,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)",
,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"295,777.936","175,558.468","41,190.822","1,388.105","1,848.069",3.102,37.806,0.280,"7,778.005","8,349.385",149.394,407.737,44.180,68.947,58.366,4.735,412.786,"1,180.910",0.002,23.211,2.630,0.246,0.000,0.088,0.000002,2.474,400.916,"534,688.600","736,629.573",,65.582,
[1] Energía,"444,504.901","21,170.542","2,216.930",,,,,,,,,,,,,,,,,,,,,,,,,"467,892.374",,,54.964,
[1A] Actividades de quema del combustible,"432,110.271","2,821.765","2,182.896",,,,,,,,,,,,,,,,,,,,,,,,,"437,114.931",,,48.860,
[1A1] Industrias de la energía,"202,816.918",173.966,303.317,,,,,,,,,,,,,,,,,,,,,,,,,"203,294.201",,,8.040,
[1A1a] Actividad principal producción de electricidad y calor,"170,956.120",157.236,284.031,,,,,,,,,,,,,,,,,,,,,,,,,"171,397.386",,,7.280,
[1A1b] Refinación del petróleo,"10,238.678",6.499,8.833,,,,,,,,,,,,,,,,,,,,,,,,,"10,254.010",,,0.683,
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"21,622.120",10.231,10.453,,,,,,,,,,,,,,,,,,,,,,,,,"21,642.804",,,0.076,
[1A2] Industrias manufactura y de la construcción,"51,303.054",77.697,106.531,,,,,,,,,,,,,,,,,,,,,,,,,"51,487.281",,,0.663,
[1A2a] Hierro y acero,"5,689.029",2.827,2.794,,,,,,,,,,,,,,,,,,,,,,,,,"5,694.650",,,0.019,
[1A2b] Metales no ferrosos,"1,854.603",1.294,1.920,,,,,,,,,,,,,,,,,,,,,,,,,"1,857.817",,,0.013,
[1A2c] Sustancias químicas,"7,673.196",4.057,4.458,,,,,,,,,,,,,,,,,,,,,,,,,"7,681.712",,,0.029,
"[1A2d] Pulpa, papel e imprenta","2,574.744",1.509,1.878,,,,,,,,,,,,,,,,,,,,,,,,,"2,578.130",,,0.024,
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","2,022.020",29.139,36.804,,,,,,,,,,,,,,,,,,,,,,,,,"2,087.964",,,0.372,
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[1A2g] Equipo de transporte,550.170,0.321,0.397,,,,,,,,,,,,,,,,,,,,,,,,,550.888,,,0.002,
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"12,363.662",13.107,22.306,,,,,,,,,,,,,,,,,,,,,,,,,"12,399.075",,,0.073,
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[1A2k] Construcción,828.969,0.956,1.809,,,,,,,,,,,,,,,,,,,,,,,,,831.734,,,0.004,
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[1A2m] Industria no especificada,"17,746.660",24.486,34.165,,,,,,,,,,,,,,,,,,,,,,,,,"17,805.311",,,0.127,
[1A3] Transporte,"146,054.224",400.844,"1,478.879",,,,,,,,,,,,,,,,,,,,,,,,,"147,933.948",,,9.367,
[1A3a] Aviación civil,"8,365.838",1.613,61.062,,,,,,,,,,,,,,,,,,,,,,,,,"8,428.513",,,0.118,
[1A3b] Autotransporte,"134,747.562",392.895,"1,261.098",,,,,,,,,,,,,,,,,,,,,,,,,"136,401.554",,,9.128,
[1A3c] Ferrocarriles,"1,399.755",2.233,145.623,,,,,,,,,,,,,,,,,,,,,,,,,"1,547.610",,,0.033,
[1A3d] Navegación marítima y fluvial,"1,541.069",4.104,11.097,,,,,,,,,,,,,,,,,,,,,,,,,"1,556.270",,,0.088,
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000,
[1A4] Otros sectores,"31,936.075","2,169.258",294.169,,,,,,,,,,,,,,,,,,,,,,,,,"34,399.502",,,30.790,
[1A4a] Comercial/institucional,"4,661.042",10.199,1.931,,,,,,,,,,,,,,,,,,,,,,,,,"4,673.172",,,2.325,
[1A4b] Residencial,"16,766.184","2,119.057",269.710,,,,,,,,,,,,,,,,,,,,,,,,,"19,154.952",,,28.260,
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"10,508.849",40.002,22.528,,,,,,,,,,,,,,,,,,,,,,,,,"10,571.379",,,0.204,
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"12,394.631","18,348.778",34.034,,,,,,,,,,,,,,,,,,,,,,,,,"30,777.442",,,6.103,
[1B1] Combustibles sólidos,42.096,"1,480.626",,,,,,,,,,,,,,,,,,,,,,,,,,"1,522.722",,,0.000,
[1B1a] Minería carbonífera y manejo del carbón,42.096,"1,480.626",,,,,,,,,,,,,,,,,,,,,,,,,,"1,522.722",,,0.000,
[1B1ai] Minas subterráneas,40.090,"1,420.209",,,,,,,,,,,,,,,,,,,,,,,,,,"1,460.299",,,,
[1B1aii] Minas superficie,2.006,60.418,,,,,,,,,,,,,,,,,,,,,,,,,,62.423,,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000,
[1B2] Petróleo y gas natural,"12,352.535","16,868.151",34.034,,,,,,,,,,,,,,,,,,,,,,,,,"29,254.720",,,6.103,
[1B2a] Petróleo,"9,616.936","11,474.275",34.001,,,,,,,,,,,,,,,,,,,,,,,,,"21,125.211",,,,
1B2ai Venteo petróleo,"2,936.036","3,714.564",,,,,,,,,,,,,,,,,,,,,,,,,,"6,650.600",,,,
1B2aii Quemado petróleo,"6,651.999","7,652.736",34.001,,,,,,,,,,,,,,,,,,,,,,,,,"14,338.736",,,6.103,
1B2aiii Otras fugitivas petróleo,28.901,106.975,,,,,,,,,,,,,,,,,,,,,,,,,,135.876,,,,
[1B2b] Gas natural,"2,735.599","5,393.877",0.034,,,,,,,,,,,,,,,,,,,,,,,,,"8,129.509",,,,
1B2bi Venteo gas natural,"1,560.784","2,600.355",,,,,,,,,,,,,,,,,,,,,,,,,,"4,161.140",,,,
1B2bii Quemado gas natural,"1,171.885",260.087,0.034,,,,,,,,,,,,,,,,,,,,,,,,,"1,432.006",,,,
1B2biii Otras fugitivas gas natural,2.929,"2,533.434",,,,,,,,,,,,,,,,,,,,,,,,,,"2,536.363",,,,
[2] Procesos industriales y uso de productos,"50,644.049",240.113,626.879,"1,388.105","1,848.069",3.102,37.806,0.280,"7,778.005","8,349.385",149.394,407.737,44.180,68.947,58.366,4.735,412.786,"1,180.910",0.002,23.211,2.630,0.246,0.000,0.088,0.000,2.474,400.916,"73,672.414",,,0.000,
[2A] Industria de los minerales,"30,918.587",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"30,918.587",,,,
[2A1] Producción de cemento,"19,411.144",,,,,,,,,,,,,,,,,,,,,,,,,,,"19,411.144",,,,
[2A2] Producción de cal,"4,071.178",,,,,,,,,,,,,,,,,,,,,,,,,,,"4,071.178",,,,
[2A3] Producción de vidrio,"1,148.018",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,148.018",,,,
[2A4] Otros usos de carbonatos,"6,288.247",,,,,,,,,,,,,,,,,,,,,,,,,,,"6,288.247",,,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2B] Industria química,"2,357.831",237.000,626.578,"1,387.535",,,,,,,,,,,,,,,,,,,,,,,,"4,608.943",,,,
[2B1] Producción de amoniaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2B2] Producción de ácido nítrico,,,508.005,,,,,,,,,,,,,,,,,,,,,,,,,508.005,,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,118.573,,,,,,,,,,,,,,,,,,,,,,,,,118.573,,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2B6] Producción de dióxido de titanio,386.969,,,,,,,,,,,,,,,,,,,,,,,,,,,386.969,,,,
[2B7] Producción de ceniza de sosa,166.014,,,,,,,,,,,,,,,,,,,,,,,,,,,166.014,,,,
[2B8] Producción petroquímica y negro de humo,"1,804.848",237.000,,,,,,,,,,,,,,,,,,,,,,,,,,"2,041.848",,,,
[2B9] Producción fluoroquímica, ,,,"1,387.535",,,,,,,,,,,,,,,,,,,,,,,,"1,387.535",,,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2C] Industria de los metales,"17,306",3.112,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"17,308.781",,,,
[2C1] Producción de hierro y acero,"16,885",3.112,,,,,,,,,,,,,,,,,,,,,,,,,,"16,887.722",,,,
[2C2] Producción de ferroaleaciones,333.117,,,,,,,,,,,,,,,,,,,,,,,,,,,333.117,,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2C5] Producción de plomo,87.942,,,,,,,,,,,,,,,,,,,,,,,,,,,87.942,,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,34.163,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,34.163,,,,
[2D1] Uso de lubricantes,27.640,,,,,,,,,,,,,,,,,,,,,,,,,,,27.640,,,,
[2D2] Uso de la cera de parafina,6.523,,,,,,,,,,,,,,,,,,,,,,,,,,,6.523,,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2E] Industria electrónica,0.000,0.000,0.301,0.571,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,23.211,2.630,0.246,0.000,0.088,0.000002,2.474,2.262,31.784,,,,
[2E1] Circuitos integrados o semiconductores,,,0.246,0.571,,,,,,,,,,,,,,,0.002,2.197,1.226,0.246,0.000,0.087794,0.000002,2.222,1.081,7.878,,,,
[2E2] Pantalla plana tipo TFT,,,0.055,,,,,,,,,,,,,,,,,0.052,,,,0.000116,,0.252,1.180,1.540,,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,20.962,1.404,,,,,,,22.366,,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,"1,848.069",3.102,37.806,0.280,"7,778.005","8,349.385",149.394,407.737,44.180,68.947,58.366,4.735,412.786,"1,180.910",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"20,343.702",,,,
[2F1] Refrigeración y aire acondicionado,,,,,"1,848.069",,,,"7,028.732","8,349.385",149.394,,,,,,,"1,180.910",,,,,,,,,,"18,556.490",,,,
[2F2] Agentes espumantes,,,,,,,,0.280,1.835,,,,,,53.129,,412.786,,,,,,,,,,,468.030,,,,
[2F3] Protección contra incendios,,,,,,,37.806,,,,,,44.180,68.947,,4.735,,,,,,,,,,,,155.668,,,,
[2F4] Aerosoles,,,,,,,,,747.438,,,407.7374697,,,5.237,,,,,,,,,,,,,"1,160.413",,,,
[2F5] Solventes,,,,,,3.102,,,,,,,,,,,,,,,,,,,,,,3.102,,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,398.654,398.654,,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,398.654,398.654,,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2H] Otros,27.799,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,27.799,,,,
[2H1] Industria de la pulpa y el papel,27.799,,,,,,,,,,,,,,,,,,,,,,,,,,,27.799,,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-200,408.923","103,683.696","35,591.490",,,,,,,,,,,,,,,,,,,,,,,,,"-61,133.736",,,9.080,
 [3A] Ganado,,"102,105.894","8,166.306",,,,,,,,,,,,,,,,,,,,,,,,,"110,272.200",,,,
     [3A1] Fermentación entérica,,"82,287.306",,,,,,,,,,,,,,,,,,,,,,,,,,"82,287.306",,,,
          [3A1a] Bovino,,"78,458.330",,,,,,,,,,,,,,,,,,,,,,,,,,"78,458.330",,,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
             [3A1c] Ovinos,,"1,691.810",,,,,,,,,,,,,,,,,,,,,,,,,,"1,691.810",,,,
          [3A1d] Caprino,,"1,180.790",,,,,,,,,,,,,,,,,,,,,,,,,,"1,180.790",,,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
          [3A1f] Caballos,,437.982,,,,,,,,,,,,,,,,,,,,,,,,,,437.982,,,,
          [3A1g] Mulas y asnos,,109.488,,,,,,,,,,,,,,,,,,,,,,,,,,109.488,,,,
          [3A1h] Porcinos,,408.906,,,,,,,,,,,,,,,,,,,,,,,,,,408.906,,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
     [3A2] Gestión del estiércol,,"19,818.588","8,166.306",,,,,,,,,,,,,,,,,,,,,,,,,"27,984.894",,,,
          [3A2a] Bovinos,,"11,898.000","7,244.547",,,,,,,,,,,,,,,,,,,,,,,,,"19,142.547",,,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
             [3A2c] Ovinos,,19.520,39.100,,,,,,,,,,,,,,,,,,,,,,,,,58.620,,,,
          [3A2d] Caprino,,13.680,21.280,,,,,,,,,,,,,,,,,,,,,,,,,34.960,,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
          [3A2f] Caballos,,42.390,,,,,,,,,,,,,,,,,,,,,,,,,,42.390,,,,
          [3A2g] Mulas y asnos,,10.806,,,,,,,,,,,,,,,,,,,,,,,,,,10.806,,,,
          [3A2h] Porcinos,,"5,896.226",463.234,,,,,,,,,,,,,,,,,,,,,,,,,"6,359.460",,,,
          [3A2i] Aves de corral,,"1,937.966",398.144,,,,,,,,,,,,,,,,,,,,,,,,,"2,336.110",,,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
  [3B] Tierra,"-192,753.93",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-192,753.932",,,,
     [3B1] Tierra forestales,"-191,483.32",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-191,483.32",,,,
          [3B1a] Tierras forestales que permanecen como tal,"-188,251.66",,,,,,,,,,,,,,,,,,,,,,,,,,,"-188,251.664",,,,
          [3B1b] Tierras convertidas a tierras forestales,"-3,231.66",,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,231.657",,,,
     [3B2] Tierra de cultivo,"-12,362.59",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-12,362.59",,,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-18,191.38",,,,,,,,,,,,,,,,,,,,,,,,,,,"-18,191.375",,,,
          [3B2b] Tierras convertidas a tierras de cultivo,"5,828.78",,,,,,,,,,,,,,,,,,,,,,,,,,,"5,828.781",,,,
     [3B3] Praderas,"10,234.20",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"10,234.20",,,,
          [3B3a] Praderas que permanecen como tal,-553.24,,,,,,,,,,,,,,,,,,,,,,,,,,,-553.241,,,,
          [3B3b] Tierras convertidas en praderas,"10,787.44",,,,,,,,,,,,,,,,,,,,,,,,,,,"10,787.443",,,,
     [3B4] Humedales,107.73,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,107.73,,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
          [3B4b] Tierras convertidas en humedales,107.73,,,,,,,,,,,,,,,,,,,,,,,,,,,107.726,,,,
     [3B5] Asentamientos ,110.53,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,110.53,,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
          [3B5b] Tierras convertidas en asentamientos,110.53,,,,,,,,,,,,,,,,,,,,,,,,,,,110.529,,,,
     [3B6] Otras tierras ,639.53,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,639.53,,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
          [3B6b] Tierras convertidas en otras tierras,639.53,,,,,,,,,,,,,,,,,,,,,,,,,,,639.526,,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,532.05","1,577.80","27,425.184",,,,,,,,,,,,,,,,,,,,,,,,,"30,535.037",,,9.080,
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,"1,458.672",607.967,,,,,,,,,,,,,,,,,,,,,,,,,"2,066.640",,,9.080,
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,511.920,188.150,,,,,,,,,,,,,,,,,,,,,,,,,700.070,,,1.890,
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,709.882,215.127,,,,,,,,,,,,,,,,,,,,,,,,,925.010,,,4.220,
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,236.870,204.690,,,,,,,,,,,,,,,,,,,,,,,,,441.560,,,2.970,
          [3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
     [3C2] Encalado,47.400,,,,,,,,,,,,,,,,,,,,,,,,,,,47.400,,,,
     [3C3] Aplicación de urea,"1,484.650",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,484.650",,,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"18,752.675",,,,,,,,,,,,,,,,,,,,,,,,,"18,752.675",,,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"6,748.262",,,,,,,,,,,,,,,,,,,,,,,,,"6,748.262",,,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"1,316.280",,,,,,,,,,,,,,,,,,,,,,,,,"1,316.280",,,,
     [3C7] Cultivo del arroz,,119.130,,,,,,,,,,,,,,,,,,,,,,,,,,119.130,,,,
  [3D] Otros,"-9,187.041",,,,,,,,,,,,,,,,,,,,,,,,,,,"-9,187.041",,,,
     [3D1] Productos de madera recolectada,"-9,187.041",,,,,,,,,,,,,,,,,,,,,,,,,,,"-9,187.041",,,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
[4] Residuos,"1,037.91","50,464.12","2,755.52",,,,,,,,,,,,,,,,,,,,,,,,,"54,257.55",,,1.538,
[4A] Eliminación de residuos sólidos,,"29,028.889",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"29,028.889",,,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"14,185.751",,,,,,,,,,,,,,,,,,,,,,,,,,"14,185.751",,,,
[4A2] Sitios no controlados de eliminación de residuos ,,"5,321.690",,,,,,,,,,,,,,,,,,,,,,,,,,"5,321.690",,,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"9,521.448",,,,,,,,,,,,,,,,,,,,,,,,,,"9,521.448",,,,
[4B] Tratamiento biológico de los residuos sólidos,,90.969,64.572,,,,,,,,,,,,,,,,,,,,,,,,,155.541,,,,
[4C] Incineración y quema a cielo abierto  de residuos,"1,037.909",747.044,178.700,,,,,,,,,,,,,,,,,,,,,,,,,"1,963.653",,,1.538,
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,54.963,0.094,2.105,,,,,,,,,,,,,,,,,,,,,,,,,57.162,,,,
[4C2] Quema a cielo abierto de residuos sólidos,982.945,746.950,176.595,,,,,,,,,,,,,,,,,,,,,,,,,"1,906.491",,,1.538,
[4D] Tratamiento y eliminación de aguas residuales,,"20,597.215","2,512.251",,,,,,,,,,,,,,,,,,,,,,,,,"23,109.466",,,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,191.354","2,512.251",,,,,,,,,,,,,,,,,,,,,,,,,"6,703.605",,,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"16,405.861",,,,,,,,,,,,,,,,,,,,,,,,,,"16,405.861",,,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
EMISIONES NETAS (Gg de CO2e),"295,777.93600852","175,558.468","41,190.822","1,388.105","1,848.069",3.102,37.806,0.280,"7,778.005","8,349.385",149.394,407.737,44.180,68.947,58.366,4.735,412.786,"1,180.910",0.002,23.211,2.630,0.246,0.000,0.088,0.000,2.474,400.916,"534,688.600",,,65.582,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"5,697.020",1.098,41.378,,,,,,,,,,,,,,,,,,,,,,,,,"5,739.496",,,0.062,
Aviación internacional,"4,403.215",0.849,32.139,,,,,,,,,,,,,,,,,,,,,,,,,"4,436.202",,,0.062,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
